Timestamp,Time,Ground Floor Temperature (°C),Ground Floor Setpoint (°C),Ground Floor Variation (°C),Ground Floor Humidity (%),Ground Floor Light,Ground Floor Window,Top Floor Temperature (°C),Top Floor Setpoint (°C),Top Floor Variation (°C),Top Floor Humidity (%),Top Floor Light,Top Floor Window,External Temperature (°C),External Humidity (%)
"27/02/2025, 14:04:55","14:04","22.0","32","-10.0","36.6","OFF","CLOSED","22.4","32","-9.6","35.2","OFF","CLOSED","23.2","33.8"
"27/02/2025, 14:05:37","14:05","22.7","32","-9.3","35.9","ON","CLOSED","23.0","32","-9.0","34.6","ON","CLOSED","23.3","33.7"
"27/02/2025, 14:06:10","14:06","23.3","32","-8.7","35.3","ON","CLOSED","23.4","32","-8.6","34.1","ON","CLOSED","23.3","33.7"
"27/02/2025, 14:06:44","14:06","24.0","32","-8.0","34.3","ON","CLOSED","24.0","32","-8.0","33.4","ON","CLOSED","23.3","33.6"
"27/02/2025, 14:07:18","14:07","24.7","32","-7.3","33.3","ON","CLOSED","24.6","32","-7.4","32.6","ON","CLOSED","23.3","33.6"
"27/02/2025, 14:07:52","14:07","25.5","32","-6.5","32.2","ON","CLOSED","25.3","32","-6.7","31.7","ON","CLOSED","23.4","33.4"
"27/02/2025, 14:08:26","14:08","26.3","32","-5.7","31.1","ON","CLOSED","26.0","32","-6.0","30.8","ON","CLOSED","23.4","33.4"
"27/02/2025, 14:09:00","14:09","27.1","32","-4.9","30.0","ON","CLOSED","26.8","32","-5.2","29.8","ON","CLOSED","23.4","33.3"
"27/02/2025, 14:09:34","14:09","27.9","32","-4.1","29.0","ON","CLOSED","27.5","32","-4.5","28.7","ON","CLOSED","23.4","33.2"
"27/02/2025, 14:10:07","14:10","28.7","32","-3.3","27.8","ON","CLOSED","28.3","32","-3.7","27.7","ON","CLOSED","23.4","33.2"
"27/02/2025, 14:10:43","14:10","29.4","32","-2.6","26.7","ON","CLOSED","29.0","32","-3.0","26.6","ON","CLOSED","23.4","33.1"
"27/02/2025, 14:11:17","14:11","30.1","32","-1.9","25.7","ON","CLOSED","29.7","32","-2.3","25.6","ON","CLOSED","23.5","33.1"
"27/02/2025, 14:11:51","14:11","30.7","32","-1.3","24.7","ON","CLOSED","30.4","32","-1.6","24.9","ON","CLOSED","23.5","33.0"
"27/02/2025, 14:12:24","14:12","31.3","32","-0.7","24.0","ON","CLOSED","31.0","32","-1.0","23.8","ON","CLOSED","23.5","33.0"
"27/02/2025, 14:12:58","14:12","31.9","32","-0.1","23.3","ON","CLOSED","31.6","32","-0.4","23.1","ON","CLOSED","23.5","32.9"
"27/02/2025, 14:13:33","14:13","32.4","32","0.4","22.7","OFF","OPEN","32.2","32","0.2","22.4","OFF","OPEN","23.5","32.9"
"27/02/2025, 14:14:07","14:14","32.7","32","0.7","21.7","OFF","OPEN","32.6","32","0.6","21.9","OFF","OPEN","23.6","32.8"
"27/02/2025, 14:14:41","14:14","32.5","32","0.5","21.4","OFF","OPEN","32.6","32","0.6","21.5","OFF","OPEN","23.6","32.8"
"27/02/2025, 14:15:14","14:15","32.1","32","0.1","21.6","OFF","OPEN","32.7","32","0.7","21.1","OFF","OPEN","23.6","32.7"
"27/02/2025, 14:15:49","14:15","31.7","32","-0.3","22.0","ON","CLOSED","32.5","32","0.5","20.8","OFF","OPEN","23.6","32.7"
"27/02/2025, 14:16:56","14:16","31.4","32","-0.6","22.4","ON","CLOSED","32.1","32","0.1","21.0","OFF","OPEN","23.6","32.7"
"27/02/2025, 14:17:31","14:17","31.5","32","-0.5","22.6","ON","CLOSED","31.8","32","-0.2","21.1","ON","CLOSED","23.6","32.6"
"27/02/2025, 14:18:05","14:18","31.7","32","-0.3","22.3","ON","CLOSED","31.9","32","-0.1","21.2","ON","CLOSED","23.6","32.6"
"27/02/2025, 14:18:39","14:18","32.0","32","0.0","22.1","ON","CLOSED","32.0","32","0.0","21.1","ON","CLOSED","23.6","32.6"
"27/02/2025, 14:19:14","14:19","32.4","32","0.4","21.8","OFF","OPEN","32.3","32","0.3","20.9","OFF","OPEN","23.6","32.5"
"27/02/2025, 14:19:48","14:19","32.6","32","0.6","21.3","OFF","OPEN","32.2","32","0.2","21.0","OFF","OPEN","23.6","32.5"
"27/02/2025, 14:20:22","14:20","32.4","32","0.4","21.0","OFF","OPEN","32.2","32","0.2","20.9","OFF","OPEN","23.7","32.5"
"27/02/2025, 14:20:55","14:20","32.1","32","0.1","21.3","OFF","OPEN","32.1","32","0.1","20.8","OFF","OPEN","23.7","32.5"
"27/02/2025, 14:21:30","14:21","31.8","32","-0.2","21.5","ON","CLOSED","32.0","32","0.0","20.7","OFF","OPEN","23.6","32.6"
"27/02/2025, 14:22:04","14:22","31.5","32","-0.5","21.9","ON","CLOSED","31.9","32","-0.1","20.8","OFF","OPEN","23.6","32.4"
"27/02/2025, 14:22:38","14:22","31.5","32","-0.5","22.0","ON","CLOSED","31.7","32","-0.3","20.9","ON","CLOSED","23.7","32.4"
"27/02/2025, 14:23:12","14:23","31.7","32","-0.3","21.9","ON","CLOSED","31.8","32","-0.2","20.9","ON","CLOSED","23.7","32.4"
"27/02/2025, 14:23:46","14:23","32.0","32","0.0","21.8","ON","CLOSED","31.9","32","-0.1","20.7","ON","CLOSED","23.7","32.4"
"27/02/2025, 14:24:21","14:24","32.4","32","0.4","21.5","OFF","OPEN","32.2","32","0.2","20.6","OFF","OPEN","23.7","32.4"
"27/02/2025, 14:24:55","14:24","32.5","32","0.5","21.0","OFF","OPEN","32.2","32","0.2","20.6","OFF","OPEN","23.7","32.4"
"27/02/2025, 14:25:29","14:25","32.4","32","0.4","20.9","OFF","OPEN","32.3","32","0.3","20.5","OFF","OPEN","23.7","32.3"
