Timestamp,Time,Ground Floor Temperature (°C),Ground Floor Setpoint (°C),Ground Floor Variation (°C),Ground Floor Humidity (%),Ground Floor Light,Ground Floor Window,Top Floor Temperature (°C),Top Floor Setpoint (°C),Top Floor Variation (°C),Top Floor Humidity (%),Top Floor Light,Top Floor Window,External Temperature (°C),External Humidity (%)
"28/02/2025, 10:19:41","10:19","17.5","25","-7.5","39.9","OFF","CLOSED","17.5","25","-7.5","39.1","OFF","CLOSED","17.9","39.8"
"28/02/2025, 10:20:28","10:20","17.5","25","-7.5","40.0","ON","OPEN","17.5","25","-7.5","39.2","ON","CLOSED","18.1","38.5"
"28/02/2025, 10:21:06","10:21","17.8","25","-7.2","39.9","ON","CLOSED","17.8","25","-7.2","39.2","ON","CLOSED","18.1","38.7"
"28/02/2025, 10:21:40","10:21","18.5","25","-6.5","39.1","ON","CLOSED","18.3","25","-6.7","38.6","OFF","CLOSED","18.0","38.7"
"28/02/2025, 10:22:18","10:22","19.1","25","-5.9","38.2","ON","CLOSED","18.8","25","-6.2","37.7","OFF","OPEN","18.1","38.8"
"28/02/2025, 10:22:59","10:22","19.9","25","-5.1","36.9","OFF","OPEN","19.1","25","-5.9","37.1","OFF","OPEN","18.0","38.7"
"28/02/2025, 10:23:37","10:23","20.3","25","-4.7","35.7","ON","OPEN","19.3","25","-5.7","36.8","OFF","CLOSED","18.0","38.7"
"28/02/2025, 10:24:11","10:24","20.6","25","-4.4","35.1","OFF","OPEN","19.5","25","-5.5","36.5","ON","CLOSED","18.0","38.7"
"28/02/2025, 10:24:50","10:24","21.0","25","-4.0","34.4","ON","OPEN","19.8","25","-5.2","36.2","ON","OPEN","18.0","38.7"
"28/02/2025, 10:25:28","10:25","21.3","25","-3.7","34.0","OFF","OPEN","20.4","25","-4.6","35.4","ON","CLOSED","18.0","38.7"
"28/02/2025, 10:26:11","10:26","21.8","25","-3.2","33.0","OFF","CLOSED","21.2","25","-3.8","34.3","ON","OPEN","18.1","38.7"
"28/02/2025, 10:26:46","10:26","21.9","25","-3.1","32.6","OFF","CLOSED","22.0","25","-3.0","33.0","ON","OPEN","18.0","38.6"
"28/02/2025, 10:27:24","10:27","21.9","25","-3.1","32.4","OFF","OPEN","22.6","25","-2.4","31.9","ON","OPEN","18.1","38.6"
"28/02/2025, 10:27:58","10:27","22.0","25","-3.0","32.3","ON","OPEN","23.4","25","-1.6","30.6","ON","OPEN","18.1","38.6"
"28/02/2025, 10:28:36","10:28","22.1","25","-2.9","32.2","OFF","CLOSED","24.0","25","-1.0","29.7","OFF","OPEN","18.1","38.6"
"28/02/2025, 10:29:15","10:29","22.2","25","-2.8","31.7","ON","CLOSED","24.4","25","-0.6","28.5","ON","CLOSED","18.1","38.5"
"28/02/2025, 10:29:53","10:29","22.4","25","-2.6","31.7","OFF","OPEN","24.7","25","-0.3","28.1","ON","CLOSED","18.1","38.7"
"28/02/2025, 10:30:32","10:30","22.7","25","-2.3","31.2","ON","OPEN","25.1","25","0.1","27.4","OFF","OPEN","18.1","38.5"
"28/02/2025, 10:31:10","10:31","22.8","25","-2.2","31.0","ON","CLOSED","25.3","25","0.3","26.9","OFF","OPEN","18.2","38.4"
"28/02/2025, 10:31:44","10:31","23.0","25","-2.0","30.6","ON","CLOSED","25.3","25","0.3","26.8","OFF","OPEN","18.2","38.4"
"28/02/2025, 10:32:25","10:32","23.4","25","-1.6","30.3","ON","CLOSED","25.1","25","0.1","26.7","OFF","CLOSED","18.2","38.4"
"28/02/2025, 10:32:59","10:32","23.8","25","-1.2","29.6","ON","CLOSED","25.0","25","0.0","26.8","OFF","CLOSED","18.2","38.3"
"28/02/2025, 10:33:39","10:33","24.2","25","-0.8","29.2","OFF","CLOSED","24.8","25","-0.2","27.0","ON","OPEN","18.2","38.4"
"28/02/2025, 10:34:22","10:34","24.5","25","-0.5","28.6","OFF","OPEN","24.9","25","-0.1","27.3","OFF","CLOSED","18.2","38.3"
"28/02/2025, 10:35:05","10:35","24.5","25","-0.5","28.2","OFF","CLOSED","24.9","25","-0.1","26.9","OFF","OPEN","18.2","38.3"
"28/02/2025, 10:35:44","10:35","24.2","25","-0.8","28.4","ON","CLOSED","24.9","25","-0.1","27.0","ON","CLOSED","18.2","38.3"
"28/02/2025, 10:36:31","10:36","24.3","25","-0.7","28.5","ON","OPEN","25.1","25","0.1","26.9","OFF","OPEN","18.3","38.3"
"28/02/2025, 10:36:53","10:36","24.5","25","-0.5","28.3","ON","OPEN","25.1","25","0.1","26.8","OFF","OPEN","18.3","38.2"
"28/02/2025, 10:37:31","10:37","24.6","25","-0.4","28.1","OFF","CLOSED","25.1","25","0.1","26.6","OFF","OPEN","18.3","38.2"
"28/02/2025, 10:38:12","10:38","24.7","25","-0.3","27.7","ON","OPEN","25.0","25","0.0","26.6","OFF","OPEN","18.3","38.2"
"28/02/2025, 10:38:46","10:38","24.8","25","-0.2","27.8","ON","OPEN","24.8","25","-0.2","26.7","OFF","OPEN","18.3","38.1"
"28/02/2025, 10:39:24","10:39","24.9","25","-0.1","27.6","OFF","CLOSED","24.7","25","-0.3","26.8","OFF","OPEN","18.3","38.0"
"28/02/2025, 10:40:03","10:40","25.0","25","0.0","27.3","ON","CLOSED","24.6","25","-0.4","26.8","ON","CLOSED","18.3","38.1"
"28/02/2025, 10:40:37","10:40","25.2","25","0.2","27.2","ON","CLOSED","24.9","25","-0.1","26.9","ON","CLOSED","18.3","38.1"
"28/02/2025, 10:41:13","10:41","25.6","25","0.6","26.8","ON","CLOSED","25.3","25","0.3","26.5","ON","CLOSED","18.4","38.0"
"28/02/2025, 10:41:49","10:41","26.1","25","1.1","26.3","ON","CLOSED","25.8","25","0.8","26.1","ON","CLOSED","18.4","38.0"
"28/02/2025, 10:42:23","10:42","26.5","25","1.5","25.8","ON","CLOSED","26.3","25","1.3","25.5","ON","CLOSED","18.4","38.0"
"28/02/2025, 10:42:57","10:42","27.0","25","2.0","25.1","ON","CLOSED","26.9","25","1.9","24.9","ON","CLOSED","18.4","38.0"
"28/02/2025, 10:43:34","10:43","27.4","25","2.4","24.7","ON","CLOSED","27.5","25","2.5","24.1","ON","CLOSED","18.4","37.9"
"28/02/2025, 10:44:08","10:44","27.9","25","2.9","24.4","ON","CLOSED","28.0","25","3.0","23.5","ON","CLOSED","18.4","37.9"
"28/02/2025, 10:44:53","10:44","28.3","25","3.3","23.7","OFF","OPEN","28.7","25","3.7","22.7","OFF","OPEN","18.4","38.1"
"28/02/2025, 10:45:28","10:45","28.5","25","3.5","23.1","OFF","OPEN","29.1","25","4.1","22.1","OFF","OPEN","18.4","38.0"
"28/02/2025, 10:46:02","10:46","28.3","25","3.3","23.0","OFF","OPEN","29.1","25","4.1","21.8","OFF","OPEN","18.4","38.0"
"28/02/2025, 10:46:35","10:46","27.8","25","2.8","23.3","OFF","OPEN","29.0","25","4.0","21.7","OFF","OPEN","18.4","37.9"
"28/02/2025, 10:47:09","10:47","27.4","25","2.4","23.8","OFF","OPEN","28.8","25","3.8","21.5","OFF","OPEN","18.4","37.9"
"28/02/2025, 10:47:45","10:47","26.8","25","1.8","24.2","OFF","OPEN","28.6","25","3.6","21.6","OFF","OPEN","18.4","38.0"
"28/02/2025, 10:48:19","10:48","26.3","25","1.3","24.9","OFF","OPEN","28.2","25","3.2","22.0","OFF","OPEN","18.4","37.9"
"28/02/2025, 10:48:53","10:48","25.8","25","0.8","25.5","OFF","OPEN","27.8","25","2.8","22.3","OFF","OPEN","18.4","38.0"
"28/02/2025, 10:49:27","10:49","25.4","25","0.4","26.1","OFF","OPEN","27.4","25","2.4","22.6","OFF","OPEN","18.4","38.0"
"28/02/2025, 10:50:07","10:50","24.9","25","-0.1","26.7","OFF","OPEN","27.0","25","2.0","23.0","ON","CLOSED","18.4","38.0"
